iteration,target_column,#classes,#class_0,#class_1,#class_2,min_class_size,training_type,K,algorithm,feature_set,Features_count,balanced,accuracy,precision,recall,F1,AUC
5,target_population,3,204,153,143,143,K-Fold,5.0,LogReg,desc,271,True,0.43,0.502167780400331,0.43,0.4071496135065474,0.6024292112202775
5,target_population,3,204,153,143,143,LOOCV,,LogReg,desc,271,True,0.452,0.5253843257180548,0.452,0.4383875847641545,0.4951909445529127
5,target_population,3,204,153,143,143,K-Fold,5.0,DecisionTree,desc,271,True,0.37,0.4833865169536659,0.37,0.3157356076759062,0.5461509959424224
5,target_population,3,204,153,143,143,LOOCV,,DecisionTree,desc,271,True,0.376,0.4788905278603699,0.376,0.3318542857142857,0.4432929868302177
5,target_population,3,204,153,143,143,K-Fold,5.0,RandomForest,desc,271,True,0.4,0.4769673137310876,0.4,0.3722435720112069,0.5891806884409657
5,target_population,3,204,153,143,143,LOOCV,,RandomForest,desc,271,True,0.414,0.4835125677830941,0.414,0.3905393181239521,0.5258825357154311
5,target_population,3,204,153,143,143,K-Fold,5.0,SVM,desc,271,True,0.418,0.5180394075838202,0.418,0.3894665330214946,0.6061513774993602
5,target_population,3,204,153,143,143,LOOCV,,SVM,desc,271,True,0.414,0.5025760438738626,0.414,0.3887133224659158,
5,target_population,3,204,153,143,143,K-Fold,5.0,AdaBoost,desc,271,True,0.32,0.2990319923746212,0.32,0.2470703684022545,0.5157004572683502
5,target_population,3,204,153,143,143,LOOCV,,AdaBoost,desc,271,True,0.05,0.1293842499894096,0.05,0.0541135945328977,0.1055126226594696
5,target_population,3,204,153,143,143,K-Fold,5.0,XGBoost,desc,271,True,0.342,0.4226193548387096,0.342,0.2736022727272727,0.5199510719701853
5,target_population,3,204,153,143,143,LOOCV,,XGBoost,desc,271,True,0.36,0.4609841680731437,0.36,0.3045187275367523,0.3102093602999265
5,target_population,3,204,153,143,143,K-Fold,5.0,LogReg,username,300,True,0.408,0.166464,0.408,0.2364545454545454,0.497627507268972
