iteration,target_column,#classes,#class_0,#class_1,#class_2,min_class_size,training_type,K,algorithm,feature_set,Features_count,balanced,accuracy,precision,recall,F1,AUC
1,target_population,3,50,13,37,13,K-Fold,5,AdaBoost,username,100,True,0.4,0.38875,0.4,0.33260073260073253,0.4899288451012589
1,target_population,3,50,13,37,13,K-Fold,5,AdaBoost,username,100,False,0.5,0.25,0.5,0.33333333333333326,0.48357963875205257
1,target_population,3,50,13,37,13,LOOCV,,AdaBoost,username,100,True,0.0,0.0,0.0,0.0,0.0
1,target_population,3,50,13,37,13,LOOCV,,AdaBoost,username,100,False,0.5,0.25,0.5,0.33333333333333326,0.0
1,target_population,3,50,13,37,13,K-Fold,5,XGBoost,username,100,True,0.5,0.25,0.5,0.33333333333333326,0.48357963875205257
1,target_population,3,50,13,37,13,K-Fold,5,XGBoost,username,100,False,0.5,0.25,0.5,0.33333333333333326,0.48357963875205257
1,target_population,3,50,13,37,13,LOOCV,,XGBoost,username,100,True,0.0,0.0,0.0,0.0,0.0
1,target_population,3,50,13,37,13,LOOCV,,XGBoost,username,100,False,0.5,0.25,0.5,0.33333333333333326,0.0
1,target_population,3,50,13,37,13,K-Fold,5,LogReg,fullname,173,True,0.5,0.5265750915750916,0.5,0.3840175438596491,0.5483794198139026
1,target_population,3,50,13,37,13,K-Fold,5,LogReg,fullname,173,False,0.5,0.25252525252525254,0.5,0.33557046979865773,0.55567947454844
1,target_population,3,50,13,37,13,LOOCV,,LogReg,fullname,173,True,0.43,0.31263636363636366,0.43,0.32196687370600413,0.30527991242474006
1,target_population,3,50,13,37,13,LOOCV,,LogReg,fullname,173,False,0.5,0.25252525252525254,0.5,0.33557046979865773,0.24679343185550082
1,target_population,3,50,13,37,13,K-Fold,5,DecisionTree,fullname,173,True,0.21,0.3691718555417185,0.21,0.1794775504353746,0.5047564313081554
1,target_population,3,50,13,37,13,K-Fold,5,DecisionTree,fullname,173,False,0.22,0.4306263736263736,0.22,0.21905253878157044,0.4878051450465243
1,target_population,3,50,13,37,13,LOOCV,,DecisionTree,fullname,173,True,0.17,0.3338444687842278,0.17,0.14183743169398907,0.492840722495895
1,target_population,3,50,13,37,13,LOOCV,,DecisionTree,fullname,173,False,0.12,0.18966898954703834,0.12,0.0972828947368421,0.44721948549534757
1,target_population,3,50,13,37,13,K-Fold,5,RandomForest,fullname,173,True,0.2,0.37155695611577966,0.2,0.21040095398428732,0.462295128626163
1,target_population,3,50,13,37,13,K-Fold,5,RandomForest,fullname,173,False,0.21,0.23918880455407968,0.21,0.19530864197530864,0.4704273125342091
1,target_population,3,50,13,37,13,LOOCV,,RandomForest,fullname,173,True,0.14,0.21725735294117643,0.14,0.12404750441341678,0.41462380952380956
1,target_population,3,50,13,37,13,LOOCV,,RandomForest,fullname,173,False,0.16,0.24821710526315788,0.16,0.15000467508181392,0.4238750410509031
1,target_population,3,50,13,37,13,K-Fold,5,SVM,fullname,173,True,0.42,0.4466666666666667,0.42,0.3708270676691729,0.42671275314723595
1,target_population,3,50,13,37,13,K-Fold,5,SVM,fullname,173,False,0.51,0.44010204081632653,0.51,0.3568121968121968,0.4482934865900384
1,target_population,3,50,13,37,13,LOOCV,,SVM,fullname,173,True,0.37,0.3451898734177215,0.37,0.2900663129973475,0.2256778325123153
1,target_population,3,50,13,37,13,LOOCV,,SVM,fullname,173,False,0.5,0.37591065292096215,0.5,0.3518333333333333,0.11276869184455393
1,target_population,3,50,13,37,13,K-Fold,5,AdaBoost,fullname,173,True,0.42,0.4263888888888889,0.42,0.41144022644022643,0.5162326765188834
1,target_population,3,50,13,37,13,K-Fold,5,AdaBoost,fullname,173,False,0.5,0.25,0.5,0.33333333333333326,0.48443552271483303
1,target_population,3,50,13,37,13,LOOCV,,AdaBoost,fullname,173,True,0.49,0.29888888888888887,0.49,0.36402597402597403,0.6768738916256157
1,target_population,3,50,13,37,13,LOOCV,,AdaBoost,fullname,173,False,0.49,0.2474747474747475,0.49,0.3288590604026846,0.17661357416529833
1,target_population,3,50,13,37,13,K-Fold,5,XGBoost,fullname,173,True,0.39,0.43793103448275855,0.39,0.2753948082980341,0.5023315270935961
1,target_population,3,50,13,37,13,K-Fold,5,XGBoost,fullname,173,False,0.47,0.3862582417582418,0.47,0.35899440696534624,0.5030834154351396
1,target_population,3,50,13,37,13,LOOCV,,XGBoost,fullname,173,True,0.39,0.3933477011494253,0.39,0.2764097193129451,0.16861280788177338
1,target_population,3,50,13,37,13,LOOCV,,XGBoost,fullname,173,False,0.44,0.23404255319148937,0.44,0.3055555555555556,0.15661127531472363
1,target_population,3,50,13,37,13,K-Fold,5,LogReg,desc_user,51,True,0.52,0.5547388059701492,0.52,0.48623626373626366,0.5859740558292281
1,target_population,3,50,13,37,13,K-Fold,5,LogReg,desc_user,51,False,0.5,0.42237132352941176,0.5,0.4529796118889708,0.5927574165298304
1,target_population,3,50,13,37,13,LOOCV,,LogReg,desc_user,51,True,0.54,0.569167326172979,0.54,0.518759785697438,0.5233328954570333
1,target_population,3,50,13,37,13,LOOCV,,LogReg,desc_user,51,False,0.34,0.2584285714285714,0.34,0.2914676616915423,0.5230687465790915
1,target_population,3,50,13,37,13,K-Fold,5,DecisionTree,desc_user,51,True,0.48,0.569375,0.48,0.41847982083276203,0.5420541871921182
1,target_population,3,50,13,37,13,K-Fold,5,DecisionTree,desc_user,51,False,0.47,0.5832839721254355,0.47,0.40481617647058826,0.5462538587848933
1,target_population,3,50,13,37,13,LOOCV,,DecisionTree,desc_user,51,True,0.45,0.48078947368421054,0.45,0.39391304347826084,0.4540753694581281
1,target_population,3,50,13,37,13,LOOCV,,DecisionTree,desc_user,51,False,0.46,0.5006766917293233,0.46,0.4026163234172388,0.3149161466885605
1,target_population,3,50,13,37,13,K-Fold,5,RandomForest,desc_user,51,True,0.5,0.5439269406392694,0.5,0.4544662162162162,0.6220181171319102
1,target_population,3,50,13,37,13,K-Fold,5,RandomForest,desc_user,51,False,0.49,0.5471917808219178,0.49,0.4459393939393939,0.5913691844553913
1,target_population,3,50,13,37,13,LOOCV,,RandomForest,desc_user,51,True,0.54,0.5775989010989011,0.54,0.5004343045629467,0.5846489326765189
1,target_population,3,50,13,37,13,LOOCV,,RandomForest,desc_user,51,False,0.52,0.5530824175824176,0.52,0.4803605219756373,0.5514730158730159
1,target_population,3,50,13,37,13,K-Fold,5,SVM,desc_user,51,True,0.47,0.4976785714285714,0.47,0.42013528879700224,0.5987159277504106
1,target_population,3,50,13,37,13,K-Fold,5,SVM,desc_user,51,False,0.47,0.3990463458110517,0.47,0.42859640602234095,0.5679373289545703
1,target_population,3,50,13,37,13,LOOCV,,SVM,desc_user,51,True,0.49,0.5409722222222222,0.49,0.4432066404543469,0.5522514504652436
1,target_population,3,50,13,37,13,LOOCV,,SVM,desc_user,51,False,0.32,0.23974124809741248,0.31999999999999995,0.2704598577235772,0.5832963327859878
1,target_population,3,50,13,37,13,K-Fold,5,AdaBoost,desc_user,51,True,0.44,0.5697726098191215,0.44,0.3496738780947131,0.5394070607553366
1,target_population,3,50,13,37,13,K-Fold,5,AdaBoost,desc_user,51,False,0.47,0.3071052631578947,0.47,0.33457471264367816,0.5367078817733991
1,target_population,3,50,13,37,13,LOOCV,,AdaBoost,desc_user,51,True,0.11,0.12634615384615383,0.11,0.11471498727277403,0.24558631636562672
1,target_population,3,50,13,37,13,LOOCV,,AdaBoost,desc_user,51,False,0.5,0.5033333333333333,0.5,0.36583855185909975,0.3040513409961686
1,target_population,3,50,13,37,13,K-Fold,5,XGBoost,desc_user,51,True,0.4,0.5059934318555008,0.4,0.29659026598754956,0.4908272577996716
1,target_population,3,50,13,37,13,K-Fold,5,XGBoost,desc_user,51,False,0.46,0.4146666666666667,0.46,0.42958810068649883,0.5352814449917899
1,target_population,3,50,13,37,13,LOOCV,,XGBoost,desc_user,51,True,0.44,0.5739166666666667,0.44,0.37633305762338026,0.3854491516146689
1,target_population,3,50,13,37,13,LOOCV,,XGBoost,desc_user,51,False,0.48,0.5335714285714286,0.48,0.40198347107438015,0.26005769020251784
1,target_population,3,50,13,37,13,K-Fold,5,LogReg,desc_fullname,64,True,0.5,0.5418806073153899,0.5,0.47116834094368343,0.5915559934318555
1,target_population,3,50,13,37,13,K-Fold,5,LogReg,desc_fullname,64,False,0.52,0.4477843803056028,0.52,0.48023333333333335,0.6099486590038314
