iteration,n_labeled_users,n_experiments,mean_accuracy,mean_F1,mean_AUC,best_AUC_target_population,best_AUC_locals_vs_diaspora,best_AUC_person_vs_organization
1,100,648,0.6289,0.5884,0.4847,0.8954,0.8152,0.8032
2,200,648,0.636,0.6079,0.5095,0.788,0.7731,0.7509
3,300,648,0.5895,0.564,0.5332,0.833,0.7441,0.6662
4,400,648,0.5696,0.5431,0.539,0.8123,0.8378,0.7307
5,500,648,0.5774,0.5508,0.5492,0.8027,0.8046,0.7686
6,600,648,0.584,0.5591,0.5668,0.761,0.8343,0.7828
7,640,648,0.577,0.5555,0.5734,0.7558,0.8015,0.7711
