task,n_classes,reported_acc,reported_F1,reported_AUC,true_class_dist,pred_class_dist,is_degenerate
target_population,3,0.6,0.593,0.681,"{0: 0.5, 1: 0.13, 2: 0.37}","{0: 0.54, 1: 0.09, 2: 0.37}",False
target_population,2,0.841,0.836,0.802,"{0: 0.79, 1: 0.21}","{0: 0.83, 1: 0.17}",False
locals_vs_diaspora,3,0.95,0.936,0.539,"{0: 0.02, 1: 0.06, 2: 0.92}","{1: 0.03, 2: 0.97}",True
locals_vs_diaspora,2,0.875,0.859,0.75,"{0: 0.25, 1: 0.75}",{1: 1.0},True
person_vs_organization,3,0.49,0.47,0.632,"{0: 0.19, 1: 0.48, 2: 0.33}","{0: 0.11, 1: 0.51, 2: 0.38}",False
person_vs_organization,2,0.716,0.685,0.707,"{0: 0.28, 1: 0.72}","{0: 0.15, 1: 0.85}",False
