iteration,target_column,#classes,#class_0,#class_1,#class_2,min_class_size,training_type,K,algorithm,feature_set,Features_count,balanced,accuracy,precision,recall,F1,AUC
2,target_population,3,100,43,57,43,K-Fold,5,AdaBoost,username,200,True,0.365,0.328375,0.365,0.3284934086629002,0.49198253975324036
2,target_population,3,100,43,57,43,K-Fold,5,AdaBoost,username,200,False,0.5,0.25,0.5,0.33333333333333326,0.49198253975324036
2,target_population,3,100,43,57,43,LOOCV,,AdaBoost,username,200,True,0.285,0.08122499999999999,0.285,0.12642023346303502,0.26792884615384616
2,target_population,3,100,43,57,43,LOOCV,,AdaBoost,username,200,False,0.5,0.25,0.5,0.33333333333333326,0.21500000000000002
2,target_population,3,100,43,57,43,K-Fold,5,XGBoost,username,200,True,0.5,0.25,0.5,0.33333333333333326,0.5
2,target_population,3,100,43,57,43,K-Fold,5,XGBoost,username,200,False,0.5,0.25,0.5,0.33333333333333326,0.49198253975324036
2,target_population,3,100,43,57,43,LOOCV,,XGBoost,username,200,True,0.5,0.25,0.5,0.33333333333333326,0.5
2,target_population,3,100,43,57,43,LOOCV,,XGBoost,username,200,False,0.5,0.25,0.5,0.33333333333333326,0.0
2,target_population,3,100,43,57,43,K-Fold,5,LogReg,fullname,300,True,0.51,0.4771724470134875,0.51,0.419967516241879,0.5617990846732884
2,target_population,3,100,43,57,43,K-Fold,5,LogReg,fullname,300,False,0.48,0.24742268041237114,0.48,0.326530612244898,0.5659757070954524
2,target_population,3,100,43,57,43,LOOCV,,LogReg,fullname,300,True,0.505,0.4793779069767442,0.505,0.41373705379587733,0.33575502650216016
2,target_population,3,100,43,57,43,LOOCV,,LogReg,fullname,300,False,0.48,0.25,0.48,0.3287671232876712,0.3327378958620997
2,target_population,3,100,43,57,43,K-Fold,5,DecisionTree,fullname,300,True,0.265,0.3602777777777778,0.265,0.19732288212239976,0.5424858090953633
2,target_population,3,100,43,57,43,K-Fold,5,DecisionTree,fullname,300,False,0.355,0.48705542264752794,0.355,0.3410131295830434,0.5702913578459757
2,target_population,3,100,43,57,43,LOOCV,,DecisionTree,fullname,300,True,0.26,0.3606989611562782,0.26,0.2065635817261973,0.7467458298071356
2,target_population,3,100,43,57,43,LOOCV,,DecisionTree,fullname,300,False,0.27,0.42604812834224604,0.27,0.2426436888640576,0.5308109271301947
2,target_population,3,100,43,57,43,K-Fold,5,RandomForest,fullname,300,True,0.29,0.49150514579759863,0.29,0.25782910055030955,0.530042341098392
2,target_population,3,100,43,57,43,K-Fold,5,RandomForest,fullname,300,False,0.315,0.4361924119241193,0.315,0.3100598070553523,0.5367302325063472
2,target_population,3,100,43,57,43,LOOCV,,RandomForest,fullname,300,True,0.29,0.4706914360532782,0.29,0.2708546806706961,0.5604020979020978
2,target_population,3,100,43,57,43,LOOCV,,RandomForest,fullname,300,False,0.25,0.3844022988505747,0.25,0.236038288016995,0.4876044563716537
2,target_population,3,100,43,57,43,K-Fold,5,SVM,fullname,300,True,0.515,0.5118629232039636,0.515,0.42356150793650793,0.4735190336733331
2,target_population,3,100,43,57,43,K-Fold,5,SVM,fullname,300,False,0.48,0.33549999999999996,0.48,0.35069721323452663,0.4362905438510534
2,target_population,3,100,43,57,43,LOOCV,,SVM,fullname,300,True,0.505,0.4793779069767442,0.505,0.41373705379587733,0.29440331833771327
2,target_population,3,100,43,57,43,LOOCV,,SVM,fullname,300,False,0.485,0.3761969111969112,0.485,0.35654331140350876,0.3774348492272059
2,target_population,3,100,43,57,43,K-Fold,5,AdaBoost,fullname,300,True,0.42,0.42830105362211524,0.42,0.40849671583136116,0.5201517649547904
2,target_population,3,100,43,57,43,K-Fold,5,AdaBoost,fullname,300,False,0.49,0.30375,0.49,0.3456298683857104,0.5106863157543093
