cluster,sentiment_positive,sentiment_negative,sentiment_neutral,emotion_joy,emotion_anger,emotion_sadness,emotion_fear,emotion_surprise,emotion_disgust,post_count,n_users_with_posts
0,0.232,0.287,0.481,0.079,0.048,0.063,0.014,0.009,0.106,53.75,44
1,0.245,0.283,0.473,0.114,0.037,0.033,0.019,0.01,0.133,93.265,34
2,0.133,0.357,0.51,0.041,0.074,0.03,0.028,0.004,0.176,113.6,5
3,0.23,0.322,0.448,0.095,0.038,0.053,0.032,0.014,0.163,109.116,43
4,0.234,0.305,0.462,0.095,0.033,0.037,0.029,0.006,0.156,89.837,43
5,0.212,0.332,0.456,0.091,0.042,0.057,0.022,0.011,0.137,95.456,57
6,0.271,0.251,0.478,0.107,0.014,0.056,0.056,0.002,0.097,74.75,4
7,0.253,0.296,0.45,0.074,0.014,0.05,0.064,0.002,0.112,134.0,6
