username,display_name,description,location,followers_count,following_count,statuses_count,created_at,target_population,comments
_ellrose,ell,,"Manchester, England",5833.0,225.0,0.0,May 2013,0,british fan account
06numerosix,komagome,▶︎  ｸｷｰｯ／ｾﾚちゃん,のば,1980.0,200.0,0.0,February 2014,0,japanese football account
ahmedovzaur78,Zaur Ahmadov,businessman,Azerbaijan,20.0,215.0,0.0,December 2014,0,azerbaijani giveaway account
alie89700828,alie,,,37.0,549.0,9.0,November 2020,1,iranian protest supporter
afg01a,afg01 afg01,,,57.0,737.0,8.0,February 2022,0,afghan fact-check account
4bteen,Abtinn,,,17.0,391.0,12.0,May 2022,1,iranian personal account
_uzbekfootball,Conor 🏴󠁧󠁢󠁳󠁣󠁴󠁿🇺🇿,Follows Pakhtakor and all things Uzbek football related. Back up account  @Uzbek_football,"Newcastle Upon Tyne, England",2813.0,331.0,0.0,April 2019,0,uzbek football analyst
_thejimbo_,Jimbo! 🌈🕕🌞,«ستادِ کیوت‌سازیِ توئیتر»      ممکنه دیر جواب بدم، معذرت می‌خوام ⁦,سرزمین غیرمادری,757.0,237.0,0.0,October 2012,1,iranian diaspora account
aliscorban,Ali Sina,GardenState Rookies Podcast,"New Jersey, USA",313.0,386.0,5014.0,January 2014,0,american sports podcast
ahdeaghiq,عهد عقیق,,,81.0,191.0,25.0,October 2012,1,iranian basij content
abdelkarimslp,Abdelkarim💎,,,0.0,208.0,3938.0,May 2013,0,german football commentator
alshiraz1,Shiraz Habbib,,South Africa,270.0,2750.0,0.0,August 2014,0,south african journalist
aam653073,Amit Mishra,,,2.0,2113.0,4.0,March 2025,2,private account
abolie17386,abolfazl Esmaili,انشاالله پایان و نابودی اسرائیل به دست اولاد علی(علیه سلام)  Israel Is a Canserous Gland,Islamic Republic of Iran,4.0,28.0,164.0,November 2025,1,pro-regime account iran
alinazarij,Ali Nazari Jouybari,علی نظری جویباری  طرفدار و مدیرعامل باشگاه استقلال ایران,,517.0,4.0,7.0,May 2025,1,esteghlal club director
__mareux__,mareux,linktr.ee/mareux,"Los Angeles, CA",4384.0,131.0,508.0,January 2020,0,american musician
al3_hacker,AL3,Iranian Anonymous  #OpIran  We do not need donation اگر اکانتی مورد تایید باشد یا همکار باشیم ، فالو میشود,,0.0,25.0,247.0,June 2013,1,iranian anonymous hacktivist
ali__darghahi,ali,,,4.0,27.0,2.0,September 2022,2,persian single post
2internetghosts,ketaminion,vocalista do two internet ghosts / qqr pronome / ig:  @pdrmuriel  /  @twointernetghosts,São Paulo,6853.0,3767.0,0.0,April 2021,2,account not found
aami_r1385,۵ مارس ۲۰۰۷,,,0.0,8.0,2.0,September 2022,1,iranian personal account
ali__erfani110,Alierfani,,,5.0,4.0,3.0,November 2020,1,iranian regime supporter
afzalab90,Afzal Patel,,India,31.0,1524.0,89.0,March 2021,0,indian political account
__aespect,aespect's evil twin ⋆˚꩜｡𝜗ৎ,@_aespect 's evil twin,EVIL aespect city,3.0,40.0,26.0,November 2025,2,account not found
ali_sadeghloo,ali sadeghloo,,,43.0,542.0,10.0,February 2013,2,persian name no content
