iteration,target_column,#classes,#class_0,#class_1,#class_2,min_class_size,training_type,K,algorithm,feature_set,Features_count,balanced,accuracy,precision,recall,F1,AUC
7,target_population,3,270,196,174,174,K-Fold,5,AdaBoost,tweets+numeric+iran,331,True,0.6671875,0.6851210513338829,0.6671875,0.6722689586893413,0.8149463307862582
7,target_population,3,270,196,174,174,K-Fold,5,XGBoost,tweets+numeric+iran,331,True,0.6703125,0.6677339278195333,0.6703125,0.6679710668965749,0.81233592028187
7,target_population,2,270,196,0,196,K-Fold,5,LogReg,numeric,11,True,0.6781115879828327,0.6806677842345994,0.6781115879828327,0.6790784920647391,0.7434618291761149
7,target_population,2,270,196,0,196,K-Fold,5,DecisionTree,numeric,11,True,0.6244635193133047,0.6232000702710542,0.6244635193133047,0.6237602174624585,0.6130007558578987
7,target_population,2,270,196,0,196,K-Fold,5,RandomForest,numeric,11,True,0.6888412017167382,0.6871483770279284,0.6888412017167382,0.6877357708963164,0.7301681783824642
7,target_population,2,270,196,0,196,K-Fold,5,SVM,numeric,11,True,0.6695278969957081,0.6807973913676028,0.6695278969957081,0.6716129331815986,0.7240551776266062
7,target_population,2,270,196,0,196,K-Fold,5,AdaBoost,numeric,11,True,0.6952789699570815,0.6977486241413905,0.6952789699570815,0.6961943058212863,0.7523904006046862
7,target_population,2,270,196,0,196,K-Fold,5,XGBoost,numeric,11,True,0.6845493562231759,0.685239623395465,0.6845493562231759,0.6848661230106472,0.7259826152683295
7,target_population,2,270,196,0,196,K-Fold,5,LogReg,numeric+iran,31,True,0.7703862660944206,0.769095988950292,0.7703862660944206,0.768685667907218,0.8520408163265306
7,target_population,2,270,196,0,196,K-Fold,5,DecisionTree,numeric+iran,31,True,0.7381974248927039,0.7428617269377769,0.7381974248927039,0.7394304731858921,0.7377173091458805
7,target_population,2,270,196,0,196,K-Fold,5,RandomForest,numeric+iran,31,True,0.7939914163090128,0.7935012739784677,0.7939914163090128,0.7936869008919438,0.8701908541194255
7,target_population,2,270,196,0,196,K-Fold,5,SVM,numeric+iran,31,True,0.7832618025751072,0.7841493436054683,0.7832618025751072,0.779541449961403,0.8351473922902495
7,target_population,2,270,196,0,196,K-Fold,5,AdaBoost,numeric+iran,31,True,0.796137339055794,0.7952959241164403,0.796137339055794,0.7954130912768971,0.8686602418745275
7,target_population,2,270,196,0,196,K-Fold,5,XGBoost,numeric+iran,31,True,0.7875536480686696,0.7871552050875584,0.7875536480686696,0.78732131457297,0.863416477702192
7,target_population,2,270,196,0,196,K-Fold,5,LogReg,desc+numeric,311,True,0.6866952789699571,0.6876230275258963,0.6866952789699571,0.6871085785793364,0.7558390022675737
7,target_population,2,270,196,0,196,K-Fold,5,DecisionTree,desc+numeric,311,True,0.6330472103004292,0.6349494764196094,0.6330472103004292,0.6338564607171328,0.6260015117157975
7,target_population,2,270,196,0,196,K-Fold,5,RandomForest,desc+numeric,311,True,0.723175965665236,0.7229863675328732,0.723175965665236,0.7230778155001297,0.75151171579743
7,target_population,2,270,196,0,196,K-Fold,5,SVM,desc+numeric,311,True,0.6716738197424893,0.6808332789185103,0.6716738197424893,0.6736654697847243,0.7258314436885865
7,target_population,2,270,196,0,196,K-Fold,5,AdaBoost,desc+numeric,311,True,0.6824034334763949,0.688818180201624,0.6824034334763949,0.6840976609590157,0.7372826908541195
7,target_population,2,270,196,0,196,K-Fold,5,XGBoost,desc+numeric,311,True,0.6888412017167382,0.691063648537921,0.6888412017167382,0.6896960697115145,0.7284013605442177
7,target_population,2,270,196,0,196,K-Fold,5,LogReg,desc+numeric+iran,331,True,0.7725321888412017,0.7713421049497167,0.7725321888412017,0.7714130680311528,0.8556689342403629
7,target_population,2,270,196,0,196,K-Fold,5,DecisionTree,desc+numeric+iran,331,True,0.7446351931330472,0.7489277952287396,0.7446351931330472,0.7457919972481724,0.7439720332577476
7,target_population,2,270,196,0,196,K-Fold,5,RandomForest,desc+numeric+iran,331,True,0.796137339055794,0.7957584455616433,0.796137339055794,0.7959143927720419,0.8709372637944066
7,target_population,2,270,196,0,196,K-Fold,5,SVM,desc+numeric+iran,331,True,0.7854077253218884,0.785782615440302,0.7854077253218884,0.7821629453616494,0.839332955404384
7,target_population,2,270,196,0,196,K-Fold,5,AdaBoost,desc+numeric+iran,331,True,0.8004291845493562,0.7998066727193662,0.8004291845493562,0.79873791456369,0.8653817082388512
7,target_population,2,270,196,0,196,K-Fold,5,XGBoost,desc+numeric+iran,331,True,0.7832618025751072,0.7822242385039262,0.7832618025751072,0.7822964843772601,0.8633030990173848
7,target_population,2,270,196,0,196,K-Fold,5,LogReg,iran_only,20,True,0.7875536480686696,0.7886419253579167,0.7875536480686696,0.7839069658037513,0.8161942554799696
7,target_population,2,270,196,0,196,K-Fold,5,DecisionTree,iran_only,20,True,0.7682403433476395,0.7726262986607954,0.7682403433476395,0.76153064279909,0.6821995464852607
7,target_population,2,270,196,0,196,K-Fold,5,RandomForest,iran_only,20,True,0.7875536480686696,0.7872207737403205,0.7875536480686696,0.7850178774288006,0.7912509448223733
7,target_population,2,270,196,0,196,K-Fold,5,SVM,iran_only,20,True,0.8004291845493562,0.8008205066640194,0.8004291845493562,0.7977994843066275,0.787178760393046
7,target_population,2,270,196,0,196,K-Fold,5,AdaBoost,iran_only,20,True,0.7918454935622318,0.794192674874042,0.7918454935622318,0.7876719365141691,0.7926587301587302
7,target_population,2,270,196,0,196,K-Fold,5,XGBoost,iran_only,20,True,0.7918454935622318,0.7919413039914857,0.7918454935622318,0.789102687932719,0.7799697656840514
7,target_population,2,270,196,0,196,K-Fold,5,LogReg,tweets+numeric+iran,331,True,0.8004291845493562,0.7999858413344542,0.8004291845493562,0.7985162365655188,0.8689342403628117
