username,display_name,followers_count,following_count,statuses_count,followers_following_ratio,bio_length,account_age_years,verified_flag,network_degree,bio_mentions_iran,cluster
_iweni,🌚🤍,80.0,370.0,96.0,0.215633423180593,28,4.205338809034908,0,1,0,5
_iwftw,𐰯𐱃𐰢𐰚|فآطِمِ🎋,1216.0,819.0,4248.0,1.4829268292682927,67,3.373032169746749,0,1,0,5
_iwtiina,Tina,0.0,4.0,0.0,0.0,0,0.7008898015058179,0,1,0,0
_jkaplan,Josh Kaplan,4856.0,3387.0,0.0,1.4332939787485242,40,17.371663244353183,0,1,0,5
_joy_net,jøy,3285.0,734.0,5899.0,4.469387755102041,145,12.618754277891854,0,1,0,5
_kuramakyubi_,Kurama Kyūbi,1.0,24.0,0.0,0.04,0,0.6187542778918549,0,1,0,0
_mahdiyar313,علی اکبر رائفی پور,0.0,1054.0,6124.0,0.0,75,3.701574264202601,0,61,1,2
_mehrabooon,مهربوون,2336.0,2501.0,1681.0,0.9336530775379697,16,5.533196440793977,0,1,0,5
_miaswart,Mia Swart,1073.0,1084.0,3859.0,0.9889400921658986,107,8.28747433264887,0,1,0,5
_mohammad_1987_,Mohammad Mohammadi,0.0,5.0,1.0,0.0,33,2.3709787816563996,0,1,1,4
_mriyim_,مریمم🦋,131.0,114.0,1.0,1.1391304347826088,5,3.2881587953456535,0,1,0,0
_nafyn_,Nafyn 🐀,544.0,427.0,1942.0,1.2710280373831775,8,6.450376454483231,0,1,0,5
_nam11,Nathan,4887.0,2796.0,0.0,1.7472291741151234,134,16.205338809034906,0,1,0,5
_pia_,Pia Strietmann,74.0,115.0,127.0,0.6379310344827587,16,17.371663244353183,0,1,0,5
_raven_reborn_,🪽,5622.0,2129.0,0.0,2.63943661971831,0,5.618069815195072,0,1,0,0
_rezinski,رضینسکی,231.0,106.0,5925.0,2.1588785046728973,33,4.700889801505818,0,1,0,5
_rosemark,Wolfy,8.0,127.0,482.0,0.0625,18,6.620123203285421,0,1,0,3
_sarahdavies,Sarah Davies,6039.0,2489.0,0.0,2.4253012048192772,53,17.44832306639288,0,1,0,5
_scandalou_,SCANDALOU,43.0,299.0,541.0,0.14333333333333334,0,3.9534565366187544,0,1,0,0
_sethnall,Seth Nall,31.0,1166.0,378.0,0.026563838903170524,26,5.037645448323066,0,1,0,5
_sgtslaughter,SGT SLAUGHTER,0.0,107.0,6124.0,0.0,124,15.868583162217659,0,1,0,3
_shahaf_,Shahaf,257.0,1970.0,786.0,0.13039066463723997,159,1.6180698151950719,0,1,0,5
_sihelvi,İbn Kusay el Kerhani,16.0,73.0,119.0,0.21621621621621623,61,0.9527720739219713,0,1,0,0
_sky_tw,spinoss,1.0,19.0,0.0,0.05,0,3.5345653661875427,0,1,0,0
_soommiii_,soosoo~,27.0,85.0,79.0,0.313953488372093,0,4.700889801505818,0,1,0,0
_starboy369,Starboy ⭐️,806.0,5214.0,3509.0,0.15455417066155322,62,4.03832991101985,0,1,0,1
_thebemagugu_,Thebe Magugu,0.0,314.0,821.0,0.0,123,17.204654346338124,0,1,0,3
_thejimbo_,Jimbo! 🌈🕕🌞,757.0,237.0,0.0,3.180672268907563,66,13.78507871321013,0,1,0,5
_theleftover,LEFTOVER,462.0,563.0,8309.0,0.8191489361702128,37,8.120465434633813,0,1,0,5
_uselessgothdm,Definitely Not a Mimic,19.0,124.0,36.0,0.152,149,6.119096509240246,0,1,0,3
_uzbekfootball,Conor 🏴󠁧󠁢󠁳󠁣󠁴󠁿🇺🇿,2813.0,331.0,0.0,8.47289156626506,89,7.2881587953456535,0,1,0,5
_x_wolverine,Logan,810.0,2000.0,4889.0,0.4047976011994003,63,13.700205338809035,0,1,0,5
_ya_karim_,səs siz,532.0,436.0,0.0,1.2173913043478262,78,2.620123203285421,0,1,0,5
_zelenska_,Zelenska,21.0,309.0,746.0,0.06774193548387097,10,6.3709787816564,0,1,0,5
031es,031esf,0.0,11.0,1.0,0.0,3,0.6187542778918549,0,1,0,0
06numerosix,komagome,1980.0,200.0,0.0,9.850746268656716,14,12.449007529089664,0,1,0,5
09escargot1012,クラウス32,1646.0,5841.0,0.0,0.281752824375214,106,6.787132101300479,0,1,0,5
0alwaysdreamer0,khe_alef,1853.0,923.0,0.0,2.0054112554112553,53,17.037645448323065,0,1,0,5
0dybbxx0o1b5xa,CathyBryce,112.0,4623.0,0.0,0.02422145328719723,0,2.869267624914442,0,1,0,0
0l8o0xgtjkorcjb,SaraThoreau,127.0,4554.0,0.0,0.0278814489571899,0,2.869267624914442,0,1,0,0
0mfahzf4tebztdl,کلول,81.0,53.0,150.0,1.5,28,5.286789869952088,0,1,0,5
0pps__,Think,22.0,159.0,18.0,0.1375,14,1.9520876112251881,0,1,0,0
0qcgdh3bdamfozf,هيثم عبده نعمان الحجري,80.0,218.0,3761.0,0.365296803652968,0,4.867898699520876,0,1,0,0
0s5lud2qs9dy01o,OliviaShaw,37.0,1247.0,0.0,0.029647435897435896,0,1.0376454483230664,0,1,0,0
0x778899,Parth,110.0,4666.0,8607.0,0.023569745018212986,25,10.119096509240247,0,1,0,5
10190celine,Céline,96.0,3455.0,2320.0,0.027777777777777776,0,14.119096509240247,0,1,0,5
105_sakariyou,Sakariyou_105,100.0,428.0,271.0,0.2331002331002331,106,4.785763175906913,0,1,1,4
10am,☆♩ ♪ ♫ ♬♡,69.0,358.0,2320.0,0.19220055710306408,0,17.867214236824093,0,1,0,5
10downingstreet,UK Prime Minister,0.0,192.0,2320.0,0.0,86,18.3709787816564,0,1,0,3
110_m_ah_b,A.B.110,0.0,7.0,3.0,0.0,0,1.78507871321013,0,1,0,0
12_adin10571,Adin 12,0.0,6.0,0.0,0.0,0,0.6187542778918549,0,1,0,0
1364ghazal62816,somaih1363,3.0,17.0,1.0,0.16666666666666666,5,3.2881587953456535,0,1,0,1
1366_t,zahra tork zadeh,154.0,908.0,660.0,0.1694169416941694,27,3.701574264202601,0,1,0,5
13virginiawoolf,ویرجینیا وولف مناطق محروم,4064.0,673.0,2320.0,6.029673590504451,0,9.700205338809035,0,1,0,5
14sm_,14 Sports Management,4340.0,3486.0,2320.0,1.2446228850014338,95,12.867898699520875,0,1,0,5
1573cigars,1573 Cigars,649.0,10.0,3.0,59.0,55,2.7871321013004793,0,1,0,7
18thcent_kitty,Kitty Pridden,0.0,988.0,2327.0,0.0,156,14.954140999315538,0,1,0,3
1983ms13,Monkey,226.0,1945.0,2327.0,0.11613566289825282,0,2.1190965092402463,0,1,0,5
19azamat9267,Азамат Елеманов,1.0,17.0,0.0,0.05555555555555555,0,4.4490075290896645,0,1,0,0
1bl51ilj2fkkt,MavisColclough,33.0,1289.0,0.0,0.02558139534883721,0,1.0376454483230664,0,1,0,0
1dish4theroad,Aaron Vallance,5435.0,3587.0,2327.0,1.5147714604236344,142,10.203969883641342,0,1,0,5
1fargol,fargol,2.0,34.0,1.0,0.05714285714285714,3,1.78507871321013,0,1,0,0
1inch,1inch,0.0,365.0,2327.0,0.0,119,7.121149897330596,0,1,0,3
1m9od5,ابو علي,0.0,16.0,0.0,0.0,0,0.6187542778918549,0,1,0,0
1meshmo,Mehdi.Sharifi.Mo.,107.0,550.0,1311.0,0.19419237749546278,0,11.373032169746748,0,1,0,1
1mhyar,Mahyar,2001.0,15.0,9.0,125.0625,34,6.869267624914442,0,1,0,7
1pezeshk_plus,«یک پزشک» پلاس,233.0,740.0,4.0,0.3144399460188934,102,10.036960985626283,0,1,0,1
1wlxeue6p5b8ws,ModestyYale,129.0,3438.0,0.0,0.03751090433265484,0,2.869267624914442,0,1,0,0
1wqrz,snopy .,60.0,132.0,1123.0,0.45112781954887216,11,13.037645448323067,0,1,0,5
2_ncqr,Cotton Headed Ninny Muggins,102.0,1586.0,287.0,0.06427221172022685,0,10.3709787816564,0,1,0,0
2_rebelgirl,Rebel girl,1399.0,1004.0,9779.0,1.3920398009950248,52,1.4483230663928817,0,1,0,5
2000mhac,محمدحسین امینایی,1.0,20.0,0.0,0.047619047619047616,0,0.7008898015058179,0,1,0,0
2012bb6656,Yves St-Laurent,1782.0,2755.0,2335.0,0.6465892597968069,123,14.787132101300479,0,1,0,5
2017siyasi,Dr siyasi,206.0,306.0,6949.0,0.6710097719869706,0,9.371663244353183,0,1,0,0
2025_samuel,Dr . Samuel 2025 Samuel arockiasamy (Sam),50.0,786.0,19.0,0.06353240152477764,0,0.7008898015058179,0,1,0,0
2088sajad24892,Sajad,5.0,39.0,53.0,0.125,0,1.6180698151950719,0,1,0,0
20lincoln20,tohid2001,4085.0,4396.0,2456.0,0.9290425289970434,26,5.867214236824093,0,1,0,5
20rapcom,20RAP.com,0.0,13.0,5214.0,0.0,42,15.373032169746748,0,1,1,4
21molana,Amirhossein Molana,0.0,1.0,0.0,0.0,159,1.2867898699520877,0,1,0,0
2447mo1789,Mo,1177.0,5324.0,29.0,0.22103286384976525,40,2.7871321013004793,0,1,0,5
27484b,xcxcxc,0.0,495.0,0.0,0.0,0,2.535249828884326,0,1,0,0
28minutes,28 minutes,0.0,2495.0,28.0,0.0,151,14.620123203285422,0,1,0,3
2bender,Bender,3313.0,667.0,0.0,4.959580838323354,92,16.449007529089666,0,1,1,4
2dopequeens,2 Dope Queens Podcast,0.0,1094.0,2510.0,0.0,132,12.618754277891854,0,1,0,3
2internetghosts,ketaminion,6853.0,3767.0,0.0,1.818736730360934,87,5.286789869952088,0,1,0,5
2ndravanparish,روانپریش دوم درب اول,0.0,35.0,5587.0,0.0,54,7.619438740588638,0,1,0,3
2rr0i_,🌟,4.0,37.0,25.0,0.10526315789473684,90,1.2867898699520877,0,1,0,3
2x0x2x4,KolKa,133.0,95.0,987.0,1.3854166666666667,91,2.620123203285421,0,1,0,5
30for30,30 for 30,0.0,1399.0,30.0,0.0,86,17.11978097193703,0,1,0,3
30nahejazi,Sina Hejazi,4400.0,16.0,297.0,258.8235294117647,14,13.286789869952088,0,1,1,7
319u9xc85rz97,KatherineRalph,67.0,7339.0,0.0,0.009128065395095367,0,2.3709787816563996,0,1,0,0
31siye6,しろ,25.0,45.0,4406.0,0.5434782608695652,0,4.785763175906913,0,1,0,0
32kennocha,Isis,345.0,472.0,458.0,0.7293868921775899,34,13.119780971937029,0,1,0,5
3303losangelesr,3303losangelesr,7.0,917.0,3249.0,0.007625272331154684,5,2.535249828884326,0,1,0,5
34gwr77liku4hw8,احمد رمزي,18.0,450.0,4.0,0.03991130820399113,0,5.119780971937029,0,1,0,0
35anj,نشريه سه‌پنج,0.0,0.0,2021.0,0.0,47,13.44832306639288,0,1,0,3
35pmrc4xezu0tvd,Максат,0.0,4.0,6.0,0.0,0,7.039014373716633,0,1,0,0
3ccmke,Third Coast Cinema,1.0,154.0,0.0,0.0064516129032258064,0,0.8678986995208761,0,1,0,0
3eyedamir,SeyedAmir Sayyah,0.0,438.0,5587.0,0.0,151,6.535249828884326,0,1,1,4
3pm_est,R,1.0,85.0,0.0,0.011627906976744186,0,0.6187542778918549,0,1,0,0
3tareee,سه تا رِ,1206.0,212.0,0.0,5.661971830985915,73,10.203969883641342,0,1,0,5
404arsynotfound,Arsy,8.0,72.0,35.0,0.1095890410958904,36,4.120465434633813,0,1,0,0
424xh,Muchacho,154.0,2398.0,0.0,0.06419341392246769,75,14.535249828884325,0,1,0,5
42potatoesss,Ishita Dasgupta,1.0,77.0,0.0,0.01282051282051282,0,2.7871321013004793,0,1,0,0
433_uae2,عميد الرياضة,0.0,178.0,5587.0,0.0,48,5.700205338809035,0,1,0,3
4bteen,Abtinn,17.0,391.0,12.0,0.04336734693877551,0,4.205338809034908,0,1,0,0
4freedom4iran,Freedom,18.0,214.0,682.0,0.08372093023255814,0,3.868583162217659,0,1,0,0
4freedominiran,Iran Freedom,0.0,698.0,2018.0,0.0,158,12.952772073921972,0,1,1,6
4genderjustice,Women's Initiatives for Gender Justice,5771.0,1516.0,8749.0,3.8042188529993406,160,14.620123203285422,0,1,0,5
4ltgmlpx61671,Payton Brown 4LtgmLpx,3.0,195.0,0.0,0.015306122448979591,0,0.7008898015058179,0,1,0,0
4m2dvxbg7uptwhz,.,104.0,383.0,8.0,0.2708333333333333,0,4.867898699520876,0,1,0,0
4noura,Noura Erakat,0.0,2719.0,5587.0,0.0,81,16.700889801505816,0,1,0,3
4refugeewomen,Women for Refugee Women 🧡,0.0,3581.0,5587.0,0.0,148,15.039014373716633,0,1,0,3
4sylvestermccoy,Sylvester McCoy,0.0,121.0,4831.0,0.0,156,13.952087611225188,0,1,0,3
4viewers,4Viewers,0.0,1330.0,4.0,0.0,118,17.037645448323065,0,1,0,3
4xasw2m9126jd,VernaAckermann,47.0,2056.0,0.0,0.022848808945065628,0,1.0376454483230664,0,1,0,6
4zk79e91ywvxni2,Мадина,11.0,118.0,18.0,0.09243697478991597,42,7.3730321697467485,0,1,0,3
500womensci,500 Women Scientists,0.0,1832.0,500.0,0.0,121,9.700205338809035,0,1,0,3
50uses,50 Uses For The Word Love Podcast,489.0,2753.0,396.0,0.1775599128540305,154,7.534565366187543,0,1,0,5
54hz_whale,54hzwhale,59.0,1363.0,55.0,0.04325513196480939,41,4.700889801505818,0,1,0,5
5ogand,Sogand,0.0,71.0,1709.0,0.0,6,13.533196440793978,0,1,0,3
5thprisoner,زندانی پنجم,6351.0,265.0,0.0,23.87593984962406,21,10.036960985626283,0,1,0,5
5x2i530x3rcidcw,GailNewton,123.0,3449.0,0.0,0.035652173913043476,0,2.7871321013004793,0,1,0,0
5y6aahcdftzn4me,پرنسس,26.0,10.0,125.0,2.3636363636363638,40,5.618069815195072,0,1,0,0
61pari93357,wind carry us?,48.0,681.0,308.0,0.07038123167155426,16,0.785763175906913,0,1,0,5
677krzych,Wojtek,146.0,807.0,9241.0,0.1806930693069307,0,7.121149897330596,0,1,0,5
67888892jkssl,cookmysock99,82.0,148.0,4215.0,0.5503355704697986,0,2.535249828884326,0,1,0,0
6njeli,اونجلیناجیلی,0.0,164.0,5593.0,0.0,63,7.868583162217659,0,1,0,3
6shahriar68408,60 shahriar,0.0,6.0,0.0,0.0,0,1.8672142368240932,0,1,0,0
7_ndala,معتز بالله الجنوبي,15.0,92.0,17.0,0.16129032258064516,0,0.7008898015058179,0,1,0,0
72nargessalehi,narges salehi,0.0,3.0,1.0,0.0,0,0.9527720739219713,0,1,0,0
730no,730.no,0.0,962.0,730.0,0.0,132,17.95208761122519,0,1,0,3
77abolfazlhz,Abolfazl_,486.0,958.0,1114.0,0.5067778936392076,43,4.952772073921971,0,1,0,1
77o7h,حسين,0.0,28.0,0.0,0.0,0,0.6187542778918549,0,1,0,0
7continentnewss,کمونیست کُش👺,74.0,778.0,1654.0,0.09499358151476252,97,4.120465434633813,0,1,0,5
7farzin7711830,7farzin7 7shabani7,0.0,4.0,0.0,0.0,0,0.6187542778918549,0,1,0,0
7khaiiam,خیام,341.0,31.0,0.0,10.65625,16,12.205338809034908,0,1,0,5
7negiashish,Ashish Negi,0.0,609.0,5593.0,0.0,117,12.700889801505818,0,1,0,3
7usiy,7,347.0,25.0,66.0,13.346153846153847,0,3.619438740588638,0,1,0,0
80403b7197f4437,@Kaveh_Mesgarian,65.0,290.0,526.0,0.22336769759450173,0,11.619438740588638,0,1,0,0
