cluster,size,pct,median_followers,median_following,median_statuses,median_ff_ratio,median_bio_len,median_age_years,median_network_degree,pct_verified,pct_has_location,pct_has_desc,pct_iran_in_bio
0,321,33.9,4,72,2,0.03,0,2.0,1,0.0,6.9,13.4,0.0
1,54,5.7,34,287,1229,0.14,38,8.5,1,0.0,100.0,87.0,0.0
2,8,0.8,0,140,3446,0.0,45,9.2,31,0.0,100.0,87.5,25.0
3,210,22.2,0,263,1381,0.0,95,12.7,1,0.0,73.3,99.5,0.0
4,56,5.9,137,616,1352,0.26,123,9.8,1,0.0,58.9,100.0,100.0
5,258,27.3,517,822,1290,0.75,53,8.3,1,0.0,68.2,90.7,0.0
6,10,1.1,63,430,157,0.14,69,7.7,1,0.0,50.0,60.0,30.0
7,29,3.1,3823,10,427,155.61,55,6.0,1,0.0,69.0,89.7,17.2
