cluster,top_terms
0,"art, phd, al, artist, strong, la, ندارم, شاعر, living, journalist, محیط, doctor"
1,"به, در, world, مدرس, engineering, telegram, از, دانشگاه, این, من, یک, صفحه"
2,"com, رئیس, شورای, happy, let, youtube com, activist, youtube, یک, نیست, civil, researcher"
3,"com, account, official, news, world, على, journalist, الرسمي, media, writer, في, الحساب الرسمي"
4,"ایران, iran, در, iranian, دانشگاه, تهران, journalist, persian, national, زنده, senior, tehran"
5,"com, football, writer, human, just, phd, music, social, dms, real, law, come"
6,"به, iranian, change, جز, در, که, human rights, rights, 2008, human, از, voice"
7,"official, account, استاد, twitter, english, علی, artist, black, exclusive, iranian, ai, azerbaijan"
