k,inertia,silhouette_kmeans,silhouette_agglo
2,8941.36675040201,0.23969249274414522,0.21144184879214434
3,7932.311943786764,0.265622048029319,0.2423211407823575
4,6994.002221882091,0.2803621523079854,0.2557581194004742
5,6105.658431300117,0.29087696240314875,0.271456905521805
6,5608.532984092509,0.2763035671753028,0.291475031411696
7,4757.180472737531,0.2917336561821974,0.30459044131978097
8,4295.119201058632,0.3001362188308705,0.2530326699871012
9,3963.1720886280827,0.2734473564339961,0.2569854237862225
10,3634.275963170917,0.26759115814715867,0.2402958659697575
